GENE	SYMBOL	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
ENSG00000035664	DAPK2	15	64199235	64364232	419	45	109057	3.1228	0.00089574
ENSG00000117500	TMED5	1	93615299	93646285	57	8	109205	3.1222	0.00089768
ENSG00000221968	FADS3	11	61640991	61659523	17	3	109062	3.1219	0.00089855
ENSG00000081923	ATP8B1	18	55313658	55470333	318	54	109052	3.1216	0.00089929
ENSG00000166035	LIPC	15	58702768	58861151	388	66	109044	3.1216	0.00089943
ENSG00000205352	PRR13	12	53835389	53840429	3	2	108709	3.1212	0.00090058
ENSG00000086696	HSD17B2	16	82068609	82132139	76	16	108975	3.1212	0.00090061
ENSG00000153029	MR1	1	181003067	181031074	71	15	109171	3.1206	0.00090243
ENSG00000248405	PRR5-ARHGAP8	22	45098113	45258586	662	95	109065	3.12	0.00090422
ENSG00000042832	TG	8	133879203	134147147	659	50	108984	3.1191	0.00090703
ENSG00000061987	MON2	12	62860597	62991363	287	24	109050	3.118	0.00091041
ENSG00000010818	HIVEP2	6	143072604	143266338	343	49	109003	3.1166	0.00091489
ENSG00000148541	FAM13C	10	61005890	61122939	206	23	109086	3.1164	0.00091535
ENSG00000141524	TMC6	17	76106539	76128488	29	10	109013	3.1163	0.00091553
ENSG00000220205	VAMP2	17	8062467	8066864	7	2	108988	3.1163	0.00091567
ENSG00000170745	KCNS3	2	18059114	18542882	1548	119	109079	3.1163	0.00091568
ENSG00000169919	GUSB	7	65425671	65447301	53	9	109214	3.116	0.00091658
ENSG00000232748	ZNF668	16	31072813	31073451	1	1	109345	3.1151	0.00091953
ENSG00000185883	ATP6V0C	16	2563871	2570219	2	1	109320	3.1148	0.00092049
ENSG00000096401	CDC5L	6	44355262	44418163	108	13	109169	3.1129	0.0009264
ENSG00000188612	SUMO2	17	73163408	73179078	17	4	108898	3.1122	0.00092837
ENSG00000268533	AC004076.7	19	57905551	57949825	72	12	109101	3.1113	0.00093131
ENSG00000063177	RPL18	19	49118585	49122793	3	1	109287	3.1112	0.00093152
ENSG00000138175	ARL3	10	104433488	104474164	22	7	109075	3.1111	0.00093199
ENSG00000123737	EXOSC9	4	122722472	122738176	32	6	109219	3.1108	0.00093297
ENSG00000170279	C7orf33	7	148287657	148312952	42	10	109066	3.1106	0.00093352
ENSG00000130783	CCDC62	12	123258874	123312075	164	13	109204	3.1098	0.00093621
ENSG00000148498	PARD3	10	34398488	35104253	1329	71	109075	3.1094	0.00093734
ENSG00000144230	GPR17	2	128403439	128410213	10	4	108936	3.1093	0.00093763
ENSG00000269549	AL031663.2	20	44074071	44077220	9	3	109189	3.1089	0.00093906
ENSG00000241484	ARHGAP8	22	45098355	45258665	665	95	109065	3.1088	0.00093935
ENSG00000130283	GDF1	19	18979361	19006905	35	10	108953	3.1086	0.00093977
ENSG00000223802	CERS1	19	18979361	19007536	35	10	108953	3.1086	0.00093977
ENSG00000126803	HSPA2	14	65002623	65009955	19	4	109007	3.1055	0.0009499
ENSG00000178795	GDPD4	11	76927603	77012732	271	21	109097	3.1048	0.000952
ENSG00000169946	ZFPM2	8	106330920	106816760	905	95	109035	3.1045	0.00095291
ENSG00000136014	USP44	12	95910336	95945266	89	19	109054	3.1044	0.00095347
ENSG00000122254	HS3ST2	16	22825498	22927659	210	38	109032	3.1043	0.00095368
ENSG00000260914	RP11-343C2.11	16	69333585	69354614	31	5	109149	3.103	0.00095795
ENSG00000163814	CDCP1	3	45123770	45187914	130	36	109087	3.1024	0.00095991
ENSG00000204624	PTCHD2	1	11539223	11597641	115	13	109047	3.1022	0.00096041
ENSG00000063127	SLC6A16	19	49792895	49828482	17	4	109101	3.1013	0.00096334
ENSG00000177963	RIC8A	11	207511	215113	20	6	109147	3.0966	0.00097873
ENSG00000175471	MCTP1	5	94039446	94620279	1147	112	109017	3.0964	0.00097956
ENSG00000151224	MAT1A	10	82031576	82049440	56	11	109118	3.0961	0.00098038
ENSG00000120594	PLXDC2	10	20105168	20578785	1594	91	109030	3.0954	0.00098283
ENSG00000198520	C1orf228	1	45140364	45191263	35	15	108995	3.0948	0.00098461
ENSG00000173262	SLC2A14	12	7965108	8043744	140	19	108944	3.0947	0.00098491
ENSG00000198742	SMURF1	7	98625061	98741723	168	31	108953	3.0946	0.00098539
ENSG00000143198	MGST3	1	165600098	165631033	113	15	109001	3.0945	0.00098566
ENSG00000111231	GPN3	12	110890289	110907073	36	6	109283	3.0944	0.00098596
ENSG00000054611	TBC1D22A	22	47158518	47571336	1131	90	108987	3.0944	0.00098618
ENSG00000105509	HAS1	19	52216365	52227247	30	7	108951	3.0941	0.00098698
ENSG00000160007	ARHGAP35	19	47421933	47508334	89	11	109148	3.094	0.00098743
ENSG00000141076	CIRH1A	16	69165194	69265033	164	21	109203	3.092	0.00099417
ENSG00000090487	SPG21	15	65255362	65282648	79	8	109116	3.0912	0.00099685
ENSG00000002587	HS3ST1	4	11394774	11431389	75	27	109060	3.0908	0.00099806
ENSG00000035862	TIMP2	17	76849059	76921469	196	24	109053	3.0907	0.00099854
ENSG00000171431	KRT20	17	39032193	39041479	29	7	109252	3.0898	0.0010015
ENSG00000189306	RRP7A	22	42905974	42915808	30	3	109097	3.0891	0.0010038
ENSG00000268133	AC003002.4	19	57874934	57909952	73	12	109081	3.0886	0.0010054
ENSG00000176476	CCDC101	16	28565236	28603111	57	8	109182	3.0874	0.0010097
ENSG00000072315	TRPC5	X	111017543	111326004	189	27	109067	3.086	0.0010142
ENSG00000205683	DPF3	14	73086004	73360809	548	62	109044	3.0855	0.0010159
ENSG00000178971	CTC1	17	8130191	8151362	53	10	109259	3.0855	0.0010159
ENSG00000100575	TIMM9	14	58875212	58894332	13	2	109217	3.0855	0.001016
ENSG00000111237	VPS29	12	110928902	110939922	21	5	109281	3.0853	0.0010167
ENSG00000127311	HELB	12	66696325	66737423	87	8	109194	3.0853	0.0010169
ENSG00000179151	EDC3	15	74922899	74988633	59	11	109213	3.0838	0.001022
ENSG00000244607	CCDC13	3	42734155	42814745	157	15	109187	3.0816	0.0010295
ENSG00000179023	KLHDC7A	1	18807424	18812478	21	4	109211	3.0814	0.0010302
ENSG00000141376	BCAS3	17	58754814	59470199	797	51	109108	3.0784	0.0010406
ENSG00000140090	SLC24A4	14	92788925	92962596	530	43	109038	3.0784	0.0010407
ENSG00000189067	LITAF	16	11641853	11730237	202	30	108940	3.0776	0.0010434
ENSG00000070882	OSBPL3	7	24836158	25021253	386	72	108931	3.0762	0.0010484
ENSG00000171608	PIK3CD	1	9711790	9789172	81	16	108981	3.0746	0.0010538
ENSG00000008513	ST3GAL1	8	134467091	134584183	295	60	109035	3.0738	0.0010567
ENSG00000198363	ASPH	8	62413116	62627155	380	38	109089	3.0723	0.0010621
ENSG00000186487	MYT1L	2	1792885	2335032	1343	93	109092	3.0716	0.0010647
ENSG00000086189	DIMT1	5	61683081	61699766	39	6	108900	3.0699	0.0010705
ENSG00000239732	TLR9	3	52255096	52273183	29	8	109094	3.0684	0.0010759
ENSG00000125995	ROMO1	20	34287194	34288906	4	2	109128	3.067	0.001081
ENSG00000007376	RPUSD1	16	834974	838397	4	2	109158	3.0667	0.0010821
ENSG00000172197	MBOAT1	6	20100935	20212670	248	48	109041	3.0665	0.0010827
ENSG00000118322	ATP10B	5	159990127	160279221	716	71	109057	3.0661	0.0010845
ENSG00000105675	ATP4A	19	36040945	36054560	21	8	109144	3.066	0.0010848
ENSG00000134020	PEBP4	8	22570769	22857513	617	91	109008	3.0658	0.0010854
ENSG00000165695	AK8	9	135600965	135754164	322	30	109159	3.0647	0.0010895
ENSG00000059573	ALDH18A1	10	97365696	97416463	183	21	109204	3.0638	0.0010928
ENSG00000178150	ZNF114	19	48675575	48790865	412	42	109027	3.0606	0.0011045
ENSG00000006756	ARSD	X	2822011	2847392	4	2	109246	3.0604	0.0011053
ENSG00000197892	KIF13B	8	28924796	29120641	318	35	108979	3.0597	0.0011078
ENSG00000125741	OPA3	19	46030685	46105470	126	25	108992	3.0587	0.0011114
ENSG00000198648	STK39	2	168810530	169104651	706	50	109027	3.0569	0.0011182
ENSG00000111962	UST	6	149068464	149398126	647	94	109016	3.0568	0.0011187
ENSG00000124491	F13A1	6	6144318	6321246	421	72	109000	3.0564	0.0011202
ENSG00000131584	ACAP3	1	1227756	1244989	34	5	109100	3.0549	0.0011258
ENSG00000131848	ZSCAN5A	19	56732681	56879752	315	51	109025	3.0544	0.0011274
ENSG00000130940	CASZ1	1	10696661	10856707	272	54	109028	3.054	0.0011291
ENSG00000160200	CBS	21	44473301	44497053	77	14	108944	3.0536	0.0011304
ENSG00000134668	SPOCD1	1	32256023	32281652	20	9	108950	3.0518	0.0011374
ENSG00000166033	HTRA1	10	124221041	124274424	152	20	108969	3.0514	0.001139
ENSG00000100101	NOL12	22	38077680	38170137	203	22	109114	3.051	0.0011403
ENSG00000183671	GPR1	2	207040040	207082771	87	13	108969	3.0502	0.0011436
ENSG00000163637	PRICKLE2	3	64079543	64431152	662	82	108898	3.0497	0.0011455
ENSG00000204525	HLA-C	6	31236526	31239907	113	11	109136	3.0495	0.0011459
ENSG00000239789	MRPS17	7	56019512	56024192	12	4	109049	3.0493	0.0011469
ENSG00000175198	PCCA	13	100741269	101182686	597	46	108992	3.0485	0.0011498
ENSG00000105889	STEAP1B	7	22459063	22672544	503	51	109063	3.0479	0.0011523
ENSG00000077942	FBLN1	22	45898118	45997015	239	37	108956	3.0471	0.0011552
ENSG00000104067	TJP1	15	29991571	30261068	538	50	109126	3.0471	0.0011553
ENSG00000117983	MUC5B	11	1244296	1283406	210	12	109129	3.0448	0.0011641
ENSG00000142166	IFNAR1	21	34696734	34732168	69	11	109069	3.0441	0.0011671
ENSG00000116750	UCHL5	1	192981380	193029237	42	11	109166	3.0431	0.0011709
ENSG00000169918	OTUD7A	15	31775329	32162992	873	30	109130	3.0412	0.0011781
ENSG00000163629	PTPN13	4	87515468	87736324	551	13	109151	3.041	0.0011791
ENSG00000129009	ISLR	15	74466012	74469213	9	2	109267	3.0401	0.0011824
ENSG00000155974	GRIP1	12	66741211	67197966	1210	96	109021	3.04	0.0011827
ENSG00000240891	PLCXD2	3	111393523	111565294	505	35	109083	3.04	0.0011828
ENSG00000116183	PAPPA2	1	176432307	176814735	685	39	109030	3.04	0.001183
ENSG00000004975	DVL2	17	7128660	7137864	10	3	109296	3.0393	0.0011856
ENSG00000177694	NAALADL2	3	174156363	175523428	3267	212	108991	3.039	0.0011868
ENSG00000163820	FYCO1	3	45959396	46037316	210	18	109152	3.0384	0.001189
ENSG00000181885	CLDN7	17	7163222	7167302	6	3	109027	3.0377	0.0011921
ENSG00000132467	UTP3	4	71554196	71556267	3	2	109333	3.0376	0.0011922
ENSG00000066405	CLDN18	3	137717577	137752494	48	6	109164	3.0376	0.0011923
ENSG00000118246	FASTKD2	2	207630081	207657233	57	9	109252	3.0376	0.0011925
ENSG00000171843	MLLT3	9	20341663	20622542	329	47	108925	3.0374	0.001193
ENSG00000247596	TWF2	3	52262626	52273276	25	7	109095	3.0366	0.0011962
ENSG00000167377	ZNF23	16	71481500	71496998	29	8	109017	3.0355	0.0012007
ENSG00000166090	IL25	14	23842018	23845612	5	3	109156	3.0345	0.0012045
ENSG00000112562	SMOC2	6	168841831	169073984	705	79	109076	3.0345	0.0012046
ENSG00000112309	B3GAT2	6	71566382	71666741	225	35	108893	3.034	0.0012067
ENSG00000042088	TDP1	14	90421283	90511106	226	12	109289	3.0337	0.0012077
ENSG00000198924	DCLRE1A	10	115594488	115614142	12	4	109209	3.0334	0.0012089
ENSG00000108846	ABCC3	17	48712138	48769613	62	20	109018	3.0325	0.0012127
ENSG00000103024	NME3	16	1820287	1821731	1	1	108893	3.0323	0.0012136
ENSG00000141314	RHBDL3	17	30593195	30651680	144	23	109027	3.0315	0.0012167
ENSG00000170677	SOCS6	18	67956137	67997436	115	16	108991	3.0311	0.0012182
ENSG00000003249	DBNDD1	16	90071273	90086536	40	9	108926	3.0311	0.0012183
ENSG00000105641	SLC5A5	19	17982782	18005983	35	6	108827	3.031	0.0012187
ENSG00000074706	IPCEF1	6	154475631	154677926	562	62	109031	3.0304	0.001221
ENSG00000144115	THNSL2	2	88469835	88486146	37	13	109035	3.0288	0.0012278
ENSG00000177951	BET1L	11	167784	207428	34	8	109014	3.0286	0.0012284
ENSG00000023572	GLRX2	1	193065598	193075244	19	6	109180	3.0282	0.0012299
ENSG00000196376	SLC35F1	6	118228689	118638839	639	68	109022	3.0277	0.0012321
ENSG00000259658	RP11-89K11.1	15	102277302	102285913	14	5	108871	3.0276	0.0012324
ENSG00000146425	DYNLT1	6	159057506	159065771	14	5	109020	3.0274	0.0012333
ENSG00000214188	ST7-OT4	7	116593953	116738860	148	28	108987	3.0272	0.0012342
ENSG00000203923	SPANXN1	X	144328348	144337632	5	1	108862	3.0271	0.0012347
ENSG00000166974	MAPRE2	18	32556892	32723434	310	38	109063	3.0265	0.0012371
ENSG00000113494	PRLR	5	35048861	35230794	430	35	109078	3.0262	0.0012382
ENSG00000198104	OR2T6	1	248550910	248551836	6	2	109354	3.0259	0.0012395
ENSG00000064655	EYA2	20	45523263	45817492	611	80	109006	3.025	0.0012433
ENSG00000185982	DEFB128	20	168494	170322	7	3	109331	3.0249	0.0012437
ENSG00000248643	RBM14-RBM4	11	66384097	66413940	20	6	109278	3.0238	0.0012482
ENSG00000196220	SRGAP3	3	9022275	9404737	750	136	108968	3.023	0.0012514
ENSG00000176953	NFATC2IP	16	28962128	28978418	14	3	109067	3.0226	0.001253
ENSG00000143033	MTF2	1	93544792	93604638	73	7	108885	3.0224	0.0012538
ENSG00000106571	GLI3	7	42000548	42277469	607	72	109056	3.0224	0.0012539
ENSG00000074071	MRPS34	16	1821891	1823156	3	1	108974	3.0218	0.0012563
ENSG00000160410	SHKBP1	19	41082757	41097305	29	7	109198	3.0218	0.0012563
ENSG00000254318	C8orf87	8	94146324	94179079	72	13	108990	3.0208	0.0012603
ENSG00000206531	CD200R1L	3	112534556	112565703	118	15	109249	3.0207	0.0012611
ENSG00000124193	SRSF6	20	42086568	42092245	5	2	108568	3.0193	0.0012668
ENSG00000174482	LINGO2	9	27948076	28670283	1955	190	109034	3.019	0.0012679
ENSG00000101191	DIDO1	20	61509090	61569304	166	22	109176	3.0176	0.0012737
ENSG00000138400	MDH1B	2	207602487	207630271	113	8	109163	3.0171	0.001276
ENSG00000185345	PARK2	6	161768452	163148803	3523	263	109039	3.0161	0.0012804
ENSG00000163960	UBXN7	3	196074533	196159345	128	15	109121	3.0156	0.0012825
ENSG00000106080	FKBP14	7	30050203	30066300	23	4	109193	3.0149	0.0012854
ENSG00000049323	LTBP1	2	33172039	33624576	1516	75	109019	3.0134	0.0012917
ENSG00000137857	DUOX1	15	45422131	45457774	75	10	109166	3.0129	0.001294
ENSG00000268358	EPB41L4A-AS2	5	111755280	111756310	2	1	109095	3.0126	0.0012952
ENSG00000112293	GPLD1	6	24424793	24495433	420	40	109066	3.0099	0.0013066
ENSG00000085433	WDR47	1	109512836	109584850	142	16	109051	3.0099	0.0013068
ENSG00000264364	DYNLL2	17	56160776	56172897	14	4	109214	3.0091	0.0013101
ENSG00000126214	KLC1	14	104028233	104167888	307	23	109052	3.009	0.0013106
ENSG00000118946	PCDH17	13	58205944	58303445	182	23	109125	3.0083	0.0013136
ENSG00000196510	ANAPC7	12	110810705	110841535	91	11	109243	3.007	0.0013193
ENSG00000267041	ZNF850	19	37205285	37263727	112	13	108999	3.0064	0.0013217
ENSG00000100216	TOMM22	22	39077953	39080818	7	2	109304	3.0043	0.0013309
ENSG00000173992	CCS	11	66360292	66373490	14	4	109152	3.0018	0.0013419
ENSG00000220702	RP1-32I10.10	22	44761431	44762164	3	2	109006	3.0005	0.0013476
ENSG00000163956	LRPAP1	4	3508103	3534286	141	18	109188	3.0001	0.0013495
ENSG00000073861	TBX21	17	45810610	45823485	36	7	109058	2.9995	0.001352
ENSG00000146426	TIAM2	6	155153831	155578857	897	146	109013	2.9991	0.001354
ENSG00000184216	IRAK1	X	153275951	153285431	2	1	108939	2.999	0.0013545
ENSG00000178694	NSUN3	3	93781760	93847389	45	14	109083	2.9978	0.0013597
ENSG00000124939	SCGB2A1	11	61976140	61981408	3	2	108738	2.9977	0.0013602
ENSG00000184178	SCFD2	4	53739149	54232242	930	74	109056	2.9974	0.0013615
ENSG00000182611	HIST1H2AJ	6	27782112	27782607	2	1	109174	2.9972	0.0013624
ENSG00000175718	RBMXL3	X	114423963	114427431	13	3	109253	2.9959	0.0013682
ENSG00000171484	OR1B1	9	125390858	125391852	8	3	109322	2.9957	0.0013689
ENSG00000166573	GALR1	18	74962505	74980858	68	16	108943	2.9952	0.0013711
ENSG00000170271	FAXDC2	5	154198051	154238812	57	10	109137	2.9936	0.0013784
ENSG00000138592	USP8	15	50716577	50793280	229	17	109153	2.9931	0.0013806
ENSG00000196944	OR2T4	1	248524883	248525929	6	1	109071	2.9931	0.0013808
ENSG00000196639	HRH1	3	11178779	11305243	249	37	109016	2.9922	0.0013848
ENSG00000090612	ZNF268	12	133707570	133783698	197	10	109213	2.992	0.0013858
ENSG00000118197	DDX59	1	200593024	200639097	126	15	109151	2.9917	0.0013873
ENSG00000157510	AFAP1L1	5	148651434	148721365	109	22	109062	2.9907	0.0013916
ENSG00000100211	CBY1	22	39052641	39069859	67	4	109271	2.9858	0.0014141
ENSG00000182601	HS3ST4	16	25703347	26149009	1171	145	109052	2.9856	0.0014152
ENSG00000256500	RP11-73M18.2	14	104029299	104152261	272	22	109032	2.9843	0.0014213
ENSG00000146776	ATXN7L1	7	105245514	105517050	535	92	109022	2.9837	0.0014242
ENSG00000197272	IL27	16	28510683	28523372	18	4	109048	2.9834	0.0014252
ENSG00000164123	C4orf45	4	159814286	159959912	355	23	109054	2.9819	0.0014324
ENSG00000112144	ICK	6	52866077	52926600	75	12	109133	2.9818	0.001433
ENSG00000166402	TUB	11	8040791	8127659	196	36	108982	2.9813	0.0014351
ENSG00000133030	MPRIP	17	16945859	17120993	374	28	109144	2.9806	0.0014383
ENSG00000104951	IL4I1	19	50392911	50432796	92	17	109105	2.9804	0.0014393
ENSG00000023330	ALAS1	3	52232102	52248343	11	2	108931	2.9803	0.00144
ENSG00000025293	PHF20	20	34359896	34538303	428	19	109248	2.9798	0.001442
ENSG00000184349	EFNA5	5	106712590	107006596	442	81	108987	2.9798	0.0014422
ENSG00000204291	COL15A1	9	101705461	101833069	230	27	109009	2.9792	0.0014448
ENSG00000143476	DTL	1	212208919	212280742	238	26	109227	2.9778	0.0014518
ENSG00000135778	NTPCR	1	233086351	233119628	78	10	109154	2.9764	0.0014581
ENSG00000122986	HVCN1	12	111065646	111142755	135	10	109113	2.9751	0.0014644
ENSG00000110900	TSPAN11	12	31079362	31149534	208	34	109064	2.9726	0.0014766
ENSG00000025039	RRAGD	6	90074355	90121989	87	15	108995	2.9722	0.0014782
ENSG00000040341	STAU2	8	74332604	74659943	782	48	109100	2.9722	0.0014782
ENSG00000144824	PHLDB2	3	111451344	111695364	770	56	109048	2.9721	0.001479
ENSG00000130787	HIP1R	12	123319000	123347507	85	8	109248	2.9718	0.0014804
ENSG00000180251	SLC9A4	2	103089762	103150431	190	13	109183	2.9714	0.001482
ENSG00000140025	EFCAB11	14	90261013	90421121	387	33	109119	2.9684	0.0014966
ENSG00000131042	LILRB2	19	54777675	54785039	10	3	108962	2.9684	0.0014966
ENSG00000163608	C3orf17	3	112721287	112738708	32	8	109192	2.9681	0.001498
ENSG00000119715	ESRRB	14	76776957	76968178	556	68	109021	2.9675	0.0015009
ENSG00000166501	PRKCB	16	23847322	24231932	844	104	108992	2.9664	0.0015064
ENSG00000047936	ROS1	6	117609463	117747018	362	41	109115	2.9658	0.0015095
ENSG00000148154	UGCG	9	114659046	114697649	155	22	109032	2.9631	0.0015227
ENSG00000183044	ABAT	16	8768422	8878432	349	63	109017	2.9627	0.0015247
ENSG00000066032	CTNNA2	2	79412357	80875905	3363	293	108997	2.9605	0.0015358
ENSG00000197140	ADAM32	8	38964509	39142430	346	17	109050	2.9604	0.0015361
ENSG00000119457	SLC46A2	9	115641200	115653193	22	6	108867	2.9599	0.0015389
ENSG00000100266	PACSIN2	22	43231418	43411151	522	15	109138	2.9591	0.0015425
ENSG00000198917	C9orf114	9	131581930	131592100	34	6	109119	2.9586	0.0015453
ENSG00000134013	LOXL2	8	23154702	23282841	515	37	109017	2.9582	0.001547
ENSG00000169981	ZNF35	3	44690219	44702283	8	4	109055	2.9579	0.0015485
ENSG00000132744	ACY3	11	67410026	67418130	16	4	109180	2.9572	0.0015524
ENSG00000198663	C6orf89	6	36839646	36896740	155	12	109149	2.9564	0.0015561
ENSG00000155506	LARP1	5	154092462	154197167	164	19	109165	2.9558	0.0015594
ENSG00000176105	YES1	18	721588	812547	150	15	108921	2.9551	0.0015626
ENSG00000155962	CLIC2	X	154505500	154563966	15	5	109086	2.9549	0.0015638
ENSG00000080493	SLC4A4	4	72053003	72437804	527	38	109037	2.9549	0.0015639
ENSG00000173818	ENDOV	17	78388965	78411886	60	16	109021	2.9547	0.0015646
ENSG00000050438	SLC4A8	12	51785101	51902980	228	17	109095	2.9541	0.0015678
ENSG00000168566	SNRNP48	6	7590432	7612200	56	8	109182	2.9534	0.0015716
ENSG00000124098	FAM210B	20	54933971	54943719	31	5	108983	2.953	0.0015737
ENSG00000140274	DUOXA2	15	45406519	45410619	4	1	109115	2.9529	0.0015741
ENSG00000172572	PDE3A	12	20522179	20837315	687	72	108953	2.9528	0.0015745
ENSG00000125851	PCSK2	20	17206752	17465223	748	65	108992	2.9516	0.0015805
ENSG00000171634	BPTF	17	65821640	65980494	242	9	109169	2.951	0.0015839
ENSG00000188373	C10orf99	10	85933494	85945050	31	7	108902	2.9505	0.0015862
ENSG00000256825	CTD-2140B24.4	12	133707570	133778955	183	10	109218	2.9505	0.0015862
ENSG00000130414	NDUFA10	2	240831867	240964819	422	43	109072	2.9503	0.0015875
ENSG00000146530	VWDE	7	12370511	12443567	289	22	109074	2.9499	0.0015894
ENSG00000139722	VPS37B	12	123349882	123380991	35	6	108947	2.9497	0.0015907
ENSG00000138079	SLC3A1	2	44502599	44548633	75	8	108858	2.9493	0.0015923
ENSG00000188191	PRKAR1B	7	588834	767287	330	42	108983	2.9493	0.0015924
ENSG00000198743	SLC5A3	21	35445870	35478559	36	7	109041	2.9491	0.0015934
ENSG00000272962	SLC5A3	21	35445870	35478561	36	7	109041	2.9491	0.0015934
ENSG00000117054	ACADM	1	76190036	76253260	230	17	109054	2.949	0.001594
ENSG00000170324	FRMPD2	10	49364601	49482941	150	13	109044	2.9489	0.0015948
ENSG00000169696	ASPSCR1	17	79934683	79975282	39	6	109089	2.9489	0.0015948
ENSG00000171045	TSNARE1	8	143293441	143484601	604	36	109065	2.9474	0.0016024
ENSG00000091128	LAMB4	7	107663993	107770801	155	14	109101	2.9471	0.0016037
ENSG00000144792	ZNF660	3	44619715	44641186	29	5	109162	2.9465	0.001607
ENSG00000095564	BTAF1	10	93683526	93790082	176	13	109067	2.9459	0.0016101
ENSG00000071909	MYO3B	2	171034655	171511681	1112	135	109028	2.9452	0.0016139
ENSG00000111799	COL12A1	6	75794042	75915767	139	18	109155	2.945	0.0016146
ENSG00000132603	NIP7	16	69373333	69377014	13	4	109004	2.9448	0.0016158
ENSG00000143125	PROK1	1	110993822	110999976	12	4	109125	2.9448	0.0016159
ENSG00000145675	PIK3R1	5	67511548	67597649	178	33	109084	2.9443	0.0016185
ENSG00000004809	SLC22A16	6	110745890	110797844	152	25	109067	2.9442	0.0016189
ENSG00000173200	PARP15	3	122296449	122357894	199	21	109011	2.9437	0.0016218
ENSG00000268083	AC104534.3	19	39308111	39330818	45	6	108859	2.9429	0.0016255
ENSG00000157388	CACNA1D	3	53528683	53847760	494	80	108946	2.942	0.0016307
ENSG00000106772	PRUNE2	9	79226292	79521003	703	68	109070	2.9413	0.0016342
ENSG00000185760	KCNQ5	6	73331520	73908574	1225	109	109090	2.9403	0.0016392
ENSG00000108984	MAP2K6	17	67410839	67539472	158	28	109024	2.9399	0.0016415
ENSG00000255524	NPIPB8	16	28648975	28670003	3	1	108949	2.939	0.0016464
ENSG00000250506	CDK3	17	73996987	74002080	11	5	109064	2.9383	0.0016499
ENSG00000101004	NINL	20	25433341	25566153	304	23	109208	2.9378	0.001653
ENSG00000134827	TCN1	11	59620273	59634048	11	7	109126	2.9376	0.0016536
ENSG00000128641	MYO1B	2	192109911	192290115	255	15	109135	2.9374	0.0016548
ENSG00000138675	FGF5	4	81187753	81257834	162	19	109070	2.937	0.0016573
ENSG00000118257	NRP2	2	206546714	206662857	190	45	108998	2.9368	0.0016581
ENSG00000153113	CAST	5	95860971	96115299	659	66	109046	2.9364	0.00166
ENSG00000112559	MDFI	6	41604620	41621984	52	10	108923	2.9361	0.001662
ENSG00000151388	ADAMTS12	5	33523640	33892297	774	75	109051	2.9357	0.0016638
ENSG00000243927	MRPS6	21	35445524	35515334	92	9	109089	2.9353	0.0016659
ENSG00000021645	NRXN3	14	78708734	80330762	3055	222	109056	2.9352	0.0016665
ENSG00000174903	RAB1B	11	66036004	66044963	14	6	109003	2.9346	0.0016701
ENSG00000089169	RPH3A	12	113008184	113336686	444	59	109045	2.9346	0.0016701
ENSG00000163347	CLDN1	3	190023490	190040264	61	14	109171	2.9343	0.0016715
ENSG00000004700	RECQL	12	21621845	21654603	81	14	109088	2.9339	0.0016734
ENSG00000254732	RP11-691N7.6	11	57509635	57560715	57	10	109186	2.9327	0.00168
ENSG00000159409	CELF3	1	151674880	151689290	19	4	108984	2.9321	0.0016836
ENSG00000150526	MIA2	14	39699435	39722859	58	9	109176	2.9319	0.0016846
ENSG00000174928	C3orf33	3	155480401	155524140	69	12	108979	2.9315	0.0016864
ENSG00000125503	PPP1R12C	19	55602281	55628927	14	5	109047	2.9314	0.0016874
ENSG00000177459	C8orf47	8	99076539	99105838	26	5	108984	2.9313	0.0016876
ENSG00000152784	PRDM8	4	81105033	81125483	45	8	108952	2.9308	0.0016904
ENSG00000188257	PLA2G2A	1	20301925	20306932	8	3	109223	2.9299	0.0016956
ENSG00000263563	UBBP4	17	21729601	21731762	6	2	109270	2.9295	0.0016976
ENSG00000173567	GPR113	2	26531041	26569685	75	18	109068	2.9288	0.0017014
ENSG00000157680	DGKI	7	137065783	137531838	532	52	109052	2.9285	0.0017029
ENSG00000167384	ZNF180	19	44979854	45004576	111	12	109169	2.9284	0.0017036
ENSG00000133739	LRRCC1	8	86019382	86058311	60	11	109162	2.9277	0.0017072
ENSG00000159063	ALG8	11	77811982	77850706	211	7	109182	2.9276	0.0017082
ENSG00000261567	RP11-680G10.1	16	85391069	85393055	2	1	109016	2.9274	0.0017089
ENSG00000165891	E2F7	12	77415027	77459360	77	22	108899	2.9272	0.0017101
ENSG00000263020	CSNK2B-LY6G5B-1181	6	31633879	31641323	22	9	109261	2.9269	0.0017118
ENSG00000198626	RYR2	1	237205505	237997288	1800	181	109042	2.9269	0.001712
ENSG00000145996	CDKAL1	6	20534688	21232635	1414	87	108987	2.9251	0.001722
ENSG00000188761	BCL2L15	1	114420790	114430169	9	3	108991	2.9241	0.0017271
ENSG00000166575	TMEM135	11	86748886	87034800	1201	43	109098	2.924	0.0017279
ENSG00000257127	CLLU1	12	92815307	92824778	29	5	109070	2.9236	0.0017303
ENSG00000128849	CGNL1	15	57668165	57842925	498	72	108981	2.922	0.001739
ENSG00000165495	PKNOX2	11	125034583	125303285	470	73	109015	2.9215	0.0017415
ENSG00000268218	AC137932.1	16	89334512	89339452	14	5	109103	2.9213	0.0017427
ENSG00000198185	ZNF334	20	45129701	45142198	21	5	109124	2.9209	0.0017453
